Student,Lec 1,Lec 2,Lec 3,Lec 4,Lec 5,Lec 6,Lec 7,Lec 8,Lec 9,Lec 10,Lec 11,Lec 12,Lec 13,Lec 14,Lec 15,Lec 16,Lec 17,Lec 18,Lec 19,Lec 20,Lec 21,Lec 22,Lec 23,Lec 24,Lec 25,Lec 26,Lec 27,Lec 28,Activity 1,Activity 2,Activity 3,Activity 4,Activity 5,Activity 6,Activity 7,Activity 8,Activity 9,Activity 10,Activity 11,Activity 12,Activity 13,Activity 14,Activity 15,Activity 16
F23.109,0,0,0.666666667,1,1,1,1,1,0,0.5,1,1,1,0,1,1,1,1,1,1,1,0,0.5,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,,0,0
F23.110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.112,1,1,0,1,1,0.666666667,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
F23.113,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0.833333333,0,1,1,1,0,1,1,0,1,1,1,1,0,0,,1,0
F23.114,0,1,0.666666667,1,0.666666667,1,0.5,1,0.5,1,1,1,0,0.5,0.5,0.5,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0.5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
S23.01,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.02,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.03,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.04,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.05,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.06,,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.07,,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.08,,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.09,,1,1,1,1,1,0,1,0,0,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.10,,1,1,1,0,1,1,1,0,0,,1,1,0.8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.11,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.12,,1,1,1,1,1,1,0.8,1,1,,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.13,,1,1,1,0,1,1,1,1,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.14,,1,1,1,1,1,1,1,0,0,,0.8,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.15,,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.16,,1,0,1,1,1,1,0,0,1,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.17,,1,1,1,1,1,1,0,1,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.18,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.19,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.20,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.21,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.22,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.23,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.24,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.25,,1,1,1,1,1,1,1,0,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.26,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.27,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.28,,1,0,1,1,1,0.8,1,0.4,0,,0.4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23.29,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
