Lecture 24,Lecture 25,Lecture 26,Lecture 27,Lecture 28,Activity Week 6,Activity Week 13,Student,Lecture 1,Lecture 2,Lecture 3,Lecture 4,Lecture 5,Lecture 6,Lecture 7,Lecture 8,Lecture 9,Lecture 10,Lecture 11,Lecture 12,Lecture 13,Lecture 14,Lecture 15,Lecture 16,Lecture 17,Lecture 18,Lecture 19,Lecture 20,Lecture 21,Lecture 22,Lecture 23,Activity Week 1,Activity Week 2,Activity Week 3,Activity Week 4,Activity Week 5,Activity Week 7,Activity Week 8,Activity Week 9,Activity Week 10,Activity Week 11,Activity Week 12,Activity Week 15,Activity Week 16
,,,,,,,96,2,2,1,2,1,2,0,2,0,1,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,,,,,,97,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
,,,,,,,98,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
4,3,3,6,11,2,2,    Points Possible,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,0,3,6,0,2,2,F23.01,3,3,3,1,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,0,3,6,0,2,2,F23.02,3,3,3,0,3,0,0,0,2,2,3,3,3,0,4,2,0,2,3,0,3,4,2,2,2,2,2,2,2,0,2,2,2,2,2,2
4,3,3,6,9,2,2,F23.03,3,2,3,2,3,2,1,2,2,1,3,3,2,1,3,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,5,0,2,2,F23.04,3,3,3,2,3,3,1,2,1,1,3,3,3,1,4,2,3,2,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,0.6,2,2
3,0,3,5,7,2,2,F23.05,3,3,3,1,3,3,2,2,2,2,3,3,3,2,0,2,3,2,0,0,3,5,0,2,2,2,2,2,2,2,2,2,0,2,2,2
4,3,3,6,11,2,2,F23.06,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,0
4,3,3,6,11,2,2,F23.07,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,5,2,2,2,2,2,2,2,0,2,0,2,0.6,2,2
3,3,3,6,11,2,2,F23.08,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,3,5,0,2,2,F23.09,3,3,3,2,3,2,1,2,0,1,3,3,3,2,4,2,2,2,2,1,3,5,2,2,2,2,2,0,0,2,0,2,2,2,0,2
0,3,0,5,0,2,2,F23.10,EX,0,2,1,1,2,1,0,1,2,3,3,3,2,3,0,3,2,3,0,3,0,1,,2,2,2,2,2,2,2,2,2,0,1,0
4,3,3,5,0,2,2,F23.11,3,3,3,0,2,3,2,2,1,2,3,3,3,2,3,2,3,1,3,2,3,5,2,2,2,0,2,2,2,2,2,0,2,0,2,2
0,2,2,6,0,2,2,F23.12,3,3,0,2,3,3,1,2,2,0,3,3,3,2,4,2,3,2,3,2,3,4,0,2,0,2,2,2,2,2,1.5,0,0,2,2,2
0,0,0,0,0,2,2,F23.13,3,3,2,2,1,3,1,2,2,1,3,2,3,2,0,2,3,2,3,2,2,4,2,2,2,2,2,0,2,2,2,2,2,0,0,0
4,3,3,6,11,2,2,F23.14,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,3,6,11,2,2,F23.15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.16,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,0,3,2,3,2,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2
2,3,1,1,0,2,2,F23.17,3,3,3,0,3,3,0,2,2,2,0,3,3,2,4,2,2,2,0,2,3,5,2,0,2,0,2,2,0,2,0,2,2,0,2,0
4,3,3,6,0,2,2,F23.18,3,3,3,0,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,2,2,0,2,2,2,2,2,2,0,2,2,0
4,3,3,6,8,2,2,F23.19,3,3,0,0,3,3,2,2,2,2,3,3,3,0,3,2,3,1,3,2,3,4,2,2,2,0,2,2,2,0,2,2,2,2,2,2
0,0,0,6,11,2,2,F23.20,3,3,3,0,3,0,0,0,2,0,3,0,3,2,4,0,0,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
4,0,1,0,0,2,2,F23.21,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,0,2,2,2,2,2,0,0
3,0,3,0,0,2,0,F23.22,3,3,2,1,3,2,1,2,1,2,3,1,3,1,4,2,0,0,0,1,0,3,0,2,2,2,2,2,0,2,2,2,2,0,0,0
4,3,3,6,11,2,2,F23.23,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.24,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.25,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,0,4,10,2,2,F23.26,EX,0,3,2,3,3,1,2,2,2,3,3,3,2,4,2,3,2,2,0,3,5,0,2,2,2,2,2,2,2,2,2,0,2,2,2
3,3,3,5,9,2,2,F23.27,3,3,3,2,3,3,2,2,2,2,3,3,2,2,4,0,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,0,2,2,2
2,0,0,0,0,2,0,F23.28,3,3,3,2,3,0,1,2,2,2,3,3,3,2,4,0,2,2,0,0,2,4,1,2,2,2,2,2,2,2,2,2,0,0,0,0
4,3,3,5,11,2,2,F23.29,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,1,3,2,3,0,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,0,0,2,2,F23.30,3,3,2,1,3,1,2,2,1,2,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0
4,3,3,6,11,2,2,F23.31,3,3,3,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.32,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,0,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
2,3,3,6,10,2,2,F23.33,3,3,3,2,2,2,1,2,2,2,3,3,3,1,4,0,3,2,3,1,2,5,2,2,2,0,2,2,2,2,1.5,2,2,2,2,2
0,0,0,0,0,0,0,F23.34,0,0,3,2,3,2,0,0,0,2,0,3,2,2,4,2,0,2,0,2,0,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0
4,3,3,6,11,2,2,F23.35,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,0,2,2,2,2,2,2,2,2,2,2
4,3,3,6,10,2,2,F23.36,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,1,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
1,3,3,6,11,2,2,F23.37,3,3,2,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,4,1,2,2,2,2,2,2,0,2,0,2,0,0,0
0,0,3,0,0,2,2,F23.38,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,2,2,0,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,0,2
0,3,3,0,11,2,2,F23.39,3,3,3,2,3,3,0,2,0,2,3,0,3,2,3,2,3,2,3,2,2,5,0,2,0,2,2,2,2,2,2,2,2,2,2,2
3,3,3,6,0,2,2,F23.40,3,3,3,1,0,2,2,2,0,2,3,1,1,2,2,2,2,2,3,0,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2
3,3,3,6,11,2,2,F23.41,3,3,2,2,3,3,1,2,1,1,3,2,3,2,2,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,0,2
4,3,3,4,11,2,2,F23.42,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,0,2
3,3,3,6,11,2,2,F23.43,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,6,0,2,2,F23.44,3,3,2,2,2,3,2,2,1,2,3,3,3,1,3,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,1
4,3,3,6,0,2,2,F23.45,3,3,3,2,3,3,2,2,2,2,3,3,3,2,0,2,3,2,3,2,3,5,2,2,2,2,2,2,0,2,2,2,0,2,2,0
4,3,3,6,11,2,2,F23.46,3,2,2,2,3,3,2,1,2,2,2,3,3,2,4,2,3,2,3,2,3,5,2,2,0,2,2,2,2,2,2,2,0,2,2,2
0,3,2,1,0,2,2,F23.47,3,0,3,0,3,0,0,2,0,2,0,0,2,2,0,0,2,2,3,2,3,2,0,2,0,2,0,2,2,0,2,2,2,2,0,0
0,0,0,5,10,2,2,F23.48,3,3,0,2,0,0,1,0,1,2,0,2,2,2,4,2,0,0,0,2,0,0,0,0,2,0,0,1,0,2,2,2,0,0,1.5,2
0,0,0,0,0,2,0,F23.49,3,3,3,2,3,2,1,0,0,0,3,3,2,1,4,2,3,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0
0,0,2,0,0,2,2,F23.50,3,3,0,0,1,2,2,2,2,0,3,1,0,2,3,0,0,2,2,1,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,2
0,3,3,6,11,2,0,F23.51,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2
