Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.70,10,9.54,10,10,10,10,10,10,9.57,10,9.81,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.71,9.32,10,10,9.37,10,0,0,8.15,8.69,10,9.81,8.52,10,10,10,10,10,10,8.74,10,10,10,10,8.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.72,10,9.54,9.6,9.58,10,10,9.8,10,9.57,10,9.81,10,10,9.37,9.74,9.72,9.47,10,9.69,9.75,10,9.71,9.38,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.73,9,9.54,0,10,9.77,9.78,9.8,10,9.57,10,9.44,10,10,9.37,10,10,9.47,10,9.36,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.74,10,9.54,10,8.95,10,9.31,10,10,9.13,10,9.05,8.89,10,10,8.14,7.78,8.96,10,9.68,10,10,10,8.74,9.01
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.75,8.33,10,4.85,9.18,5,6.78,9.8,8.15,9.56,9.64,8.29,8.52,10,10,8.14,10,9.47,9.16,9.69,9.75,8.82,10,8.74,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.76,9.34,10,9.6,9.8,10,9.56,10,9.63,10,10,8.87,8.52,10,9.37,9.73,10,10,10,10,10,9.42,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.77,9.67,4.56,0,1.2,8.32,0,0,9.63,5.67,0,9.08,0,8.65,8.13,8.68,6.13,5.81,0,9.69,8.5,8.23,10,6.25,4.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.78,10,4.77,10,10,5,9.77,4.6,10,9.57,10,8.68,10,5,10,9.73,10,9.47,10,8.1,9.75,5.87,10,9.37,7.16
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.79,8.67,9.54,10,9.79,10,3.39,8.8,8.52,9.57,10,9.43,10,10,9.37,8.95,10,10,4.15,8.72,8.75,9.42,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.80,9.67,8.16,9.1,9.58,9.76,0,9.8,9.63,9.57,10,9.43,9.26,10,8.74,9.73,9.72,10,9.16,7.15,9.75,9.41,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.81,9.66,9.54,10,9.37,10,3.61,7.6,9.63,10,9.65,8.86,10,10,10,6.83,10,10,10,8.74,10,8.82,10,10,8.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.82,10,10,9.6,10,10,10,10,9.26,9.57,10,10,10,0,10,10,10,10,10,10,10,9.41,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.83,10,10,9.7,9.79,10,10,10,10,9.57,10,7.54,10,10,9.37,10,10,10,10,9.68,10,8.82,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.84,4.84,9.54,10,9.79,10,10,10,0,8.26,10,10,10,10,9.37,10,9.72,10,10,4.98,10,9.41,0,8.12,9.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.85,10,9.54,10,10,10,0,0,9.63,10,10,9.62,9.63,10,9.37,9.46,5.85,0,10,8.27,9.75,8.23,10,10,5
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.86,9.34,9.54,10,6.89,5,0,0,0,10,10,9.43,10,10,9.37,0,0,5.8,4.99,9.36,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.87,10,10,9.6,9.6,10,10,10,10,9.14,10,9.25,10,10,8.75,9.73,9.17,10,10,9.36,9.75,9.41,10,10,4.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.88,9.33,10,5,0,9.52,5.41,9.2,0,7.81,8.6,8.86,7.78,10,9.37,1.3,9.72,9.47,5,1.72,9.75,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.89,9.67,9.54,10,9.58,10,10,9.8,10,10,10,9.43,10,10,10,10,10,9.47,8.33,10,10,9.41,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.90,10,10,9.3,10,10,9.77,9.6,9.63,9.57,9.64,9.25,10,9.73,10,10,9.72,10,9.17,9.68,9.5,8.82,10,9.37,2.97
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.91,10,10,10,8.76,10,0,10,10,10,10,9.63,10,10,10,9.73,10,6.86,10,10,10,10,10,10,8.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.92,10,10,10,9.59,10,10,10,10,10,10,9.44,10,10,10,10,10,10,10,10,10,10,10,10,10
